Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1990","1990","kg/ha","1659.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1991","1991","kg/ha","1832.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1992","1992","kg/ha","1727.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1993","1993","kg/ha","1554.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1994","1994","kg/ha","2040","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1995","1995","kg/ha","1875.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1996","1996","kg/ha","1450.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1997","1997","kg/ha","1471.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1998","1998","kg/ha","1669.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1999","1999","kg/ha","1481.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2000","2000","kg/ha","1440","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2001","2001","kg/ha","1701.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2002","2002","kg/ha","1512.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2003","2003","kg/ha","1622.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2004","2004","kg/ha","1929.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2005","2005","kg/ha","1640.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2006","2006","kg/ha","1719.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2007","2007","kg/ha","1813.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2008","2008","kg/ha","1392.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2009","2009","kg/ha","1294.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2010","2010","kg/ha","1725.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2011","2011","kg/ha","1584","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2012","2012","kg/ha","1736.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2013","2013","kg/ha","1692.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2014","2014","kg/ha","1660.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","1823","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","1428.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","1527.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","1765.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","1560","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","1774.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","1523.8","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","1458.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","1763.4","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1990","1990","kg/ha","1501.2","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1991","1991","kg/ha","1350","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1992","1992","kg/ha","1500","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1993","1993","kg/ha","1598.4","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1994","1994","kg/ha","1509.8","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1995","1995","kg/ha","1598.9","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1996","1996","kg/ha","1299.7","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1997","1997","kg/ha","1237.5","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","0112","Maize (corn)","1998","1998","kg/ha","1500","A","Official figure",""
